term,definition
Multiplication,Repeated addition: 3 Ã— 4 = 4 + 4 + 4 = 12
Division,Splitting into equal parts: 12 Ã· 3 = 4
Fraction,Part of a whole: 1/2 means one out of two parts
Numerator,Top number in a fraction: tells how many parts you have
Denominator,Bottom number in a fraction: tells how many parts make a whole
Perimeter,Distance around the outside of a shape
Area,Space inside a shape: for rectangle, multiply length Ã— width
Place value,Value of a digit by position: Hundreds, Tens, Ones
Even number,Divisible by 2: 2, 4, 6, 8, 10
Odd number,Not divisible by 2: 1, 3, 5, 7, 9
Pattern,Sequence that repeats: ðŸ”µðŸ”´ðŸ”µðŸ”´
Double,Multiply by 2: Double 6 is 12
Half,Divide by 2: Half of 10 is 5
Quarter,One of four equal parts: 1/4
Decimal,A number with a point: 0.5, 1.25